127.0.0.1 - - [20/Dec/2021:10:40:27 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Dec/2021:10:40:28 +0900] "GET /ex13/ HTTP/1.1" 200 472
0:0:0:0:0:0:0:1 - - [20/Dec/2021:10:40:28 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Dec/2021:10:40:29 +0900] "GET /ex13/member/loginPage/ HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [20/Dec/2021:10:40:37 +0900] "GET /ex13/member/findIdPage HTTP/1.1" 200 1515
0:0:0:0:0:0:0:1 - - [20/Dec/2021:10:40:40 +0900] "POST /ex13/member/findId HTTP/1.1" 500 11228
0:0:0:0:0:0:0:1 - - [20/Dec/2021:10:43:27 +0900] "GET /ex13/member/loginPage/ HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [20/Dec/2021:10:43:28 +0900] "GET /ex13/member/loginPage/ HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [20/Dec/2021:10:43:28 +0900] "GET /ex13/member/loginPage/ HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [20/Dec/2021:10:43:28 +0900] "GET /ex13/member/loginPage/ HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [20/Dec/2021:10:43:28 +0900] "GET /ex13/member/loginPage/ HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [20/Dec/2021:10:43:28 +0900] "GET /ex13/member/loginPage/ HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [20/Dec/2021:10:43:33 +0900] "GET /ex13/member/joinPage HTTP/1.1" 200 6786
0:0:0:0:0:0:0:1 - - [20/Dec/2021:10:43:34 +0900] "POST /ex13/member/idCheck HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [20/Dec/2021:10:43:34 +0900] "POST /ex13/member/idCheck HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [20/Dec/2021:10:43:34 +0900] "POST /ex13/member/idCheck HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [20/Dec/2021:10:43:47 +0900] "POST /ex13/member/idCheck HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [20/Dec/2021:10:43:47 +0900] "POST /ex13/member/idCheck HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [20/Dec/2021:10:43:47 +0900] "POST /ex13/member/idCheck HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [20/Dec/2021:10:43:48 +0900] "POST /ex13/member/idCheck HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [20/Dec/2021:10:43:48 +0900] "POST /ex13/member/idCheck HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [20/Dec/2021:10:43:56 +0900] "POST /ex13/member/emailCheck HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [20/Dec/2021:10:44:21 +0900] "POST /ex13/member/sendAuthCode HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Dec/2021:10:44:27 +0900] "POST /ex13/member/join HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Dec/2021:10:44:27 +0900] "GET /ex13/ HTTP/1.1" 200 472
0:0:0:0:0:0:0:1 - - [20/Dec/2021:10:44:28 +0900] "GET /ex13/member/loginPage/ HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [20/Dec/2021:10:44:33 +0900] "POST /ex13/member/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Dec/2021:10:44:33 +0900] "GET /ex13/ HTTP/1.1" 200 512
